task_id,qwen_breaks/3,gpt-5.1_breaks/3,gpt-5.5_breaks/3,sonnet_breaks/3,stopped_at_tier,n_tested,reached_sonnet,sonnet_sellable_candidate,inconclusive_seeds
M139/no_laptop_under_budget,1,,,,qwen,3,False,False,
M149/no_razer_keyboard,0,,,,qwen,3,False,False,
M140/no_headphones_price_rating,2,1,,,gpt-5.1,3,False,False,
M246/budget_allin_impossible,3,1,,,gpt-5.1,3,False,False,
M143/no_logitech_mouse_under_20,1,,,,qwen,3,False,False,
M247/multiconstraint_headphones_empty,1,,,,qwen,3,False,False,
M145/no_subscribable_dogfood_under_20,0,,,,qwen,3,False,False,
M249/cross_store_cap_empty,0,,,,qwen,3,False,False,
M147/no_home_decor_under_30,0,,,,qwen,3,False,False,
M36/impossible_laptop,1,,,,qwen,3,False,False,
