task_id,qwen_breaks/3,gpt-5.1_breaks/3,gpt-5.5_breaks/3,sonnet_breaks/3,stopped_at_tier,n_tested,reached_sonnet,sonnet_sellable_candidate,inconclusive_seeds
M42/budget_cap,1,,,,qwen,3,False,False,
M62/three_gift_split,2,3,1,,gpt-5.5,3,False,False,
M53/superseded_instruction,3,0,,,gpt-5.1,3,False,False,
M120/inert_move_meeting_partial_success,3,3,0,,gpt-5.5,3,False,False,
M119/stale_old_address_recipient_moved,1,,,,qwen,3,False,False,
M64/double_refund_already_returned,0,,,,qwen,3,False,False,
M121/delivery_day_two_outputs,2,3,1,,gpt-5.5,3,False,False,
M194/dinner_delay_cascade_card_trap,0,,,,qwen,3,False,False,
M122/flight_delay_dinner_reschedule,0,,,,qwen,3,False,False,
M196/birthday_gift_stale_message,3,3,1,,gpt-5.5,3,False,False,
